==============================================
 Job     : ch_filtered_tdma  (ID=28106)
 Input   : /shared/home/wel1come1234/workspace/Filtered_TDMA/channel/PARA_INPUT.dat
 MPI     : np1=4  np2=4  np3=2  -> NP=32
 Binary  : /shared/home/wel1come1234/workspace/Filtered_TDMA/build/bin/channel.out
==============================================
[2026-04-25 00:29:55] Starting  mpirun -np 32
====== Channel Config ======
  meshes:    n1m=256 n2m=256 n3m=256 (n1=257 n2=257 n3=257)
  MPI_procs: np1=4 np2=4 np3=2 (total=32)
  periodic:  pbc1=1 pbc2=1 pbc3=0 (z is wall-normal)
  uniform:   1 1 0   stretch gamma: 0 0 1.3
  domain:    Lx=12.5664 Ly=6.28319 Lz=2 (H=2, Aspect1=6.28319 Aspect2=3.14159)
  flow:      Re_b=2857 MaxCFL=0.5
  time:      dtStart=0.05 tStart=0 Timestepmax=30000
  forcing:   MASS_FLOW  Ub_target=1  dPdx_target=0
  restart:   in=0 out=1  './restart_in/' './restart_out/'
  output:    nmonitor=1  nstat_start=20000  nstat=1
             nout_stats=10000  nout=30000  out_stats=1  out_field=1
             stat_dir='./statistics/' instant_dir='./instant/'
  tdma:      backend=pascal
============================
====== MpiTopology ======
  dims=(4,4,2)  total=32
  periodic=(1,1,0)
=========================

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          36  2.09832e-01  6.32163e-04  4.54747e-13  1.28125e-03  3.57946e-02  1.00000e+00  1.08706e-02  7.95318e-04
          37  2.10388e-01  5.55444e-04  5.68434e-13  1.26549e-03  3.55738e-02  1.00000e+00  9.57642e-03  6.98933e-04
          38  2.10965e-01  5.77221e-04  5.11591e-13  1.25237e-03  3.53889e-02  1.00000e+00  9.94448e-03  7.26297e-04
          39  2.11541e-01  5.76177e-04  6.82121e-13  1.24227e-03  3.52459e-02  1.00000e+00  9.92686e-03  7.24986e-04
          40  2.12064e-01  5.22656e-04  9.76996e-13  1.23445e-03  3.51347e-02  1.00000e+00  9.02124e-03  6.57730e-04

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          41  2.12445e-01  3.80837e-04  9.18376e-13  1.22622e-03  3.50175e-02  1.00000e+00  6.60545e-03  4.79431e-04
          42  2.12794e-01  3.49675e-04  8.04690e-13  1.21975e-03  3.49249e-02  1.00000e+00  6.07147e-03  4.40236e-04
          43  2.13136e-01  3.42290e-04  9.73444e-13  1.21596e-03  3.48706e-02  1.00000e+00  5.94474e-03  4.30946e-04
          44  2.13411e-01  2.74898e-04  1.02318e-12  1.21267e-03  3.48234e-02  1.00000e+00  4.78541e-03  3.46157e-04
          45  2.13674e-01  2.62175e-04  9.09495e-13  1.21151e-03  3.48068e-02  1.00000e+00  4.56594e-03  3.30147e-04
          46  2.13957e-01  2.83920e-04  1.13687e-12  1.21598e-03  3.48710e-02  1.00000e+00  4.94093e-03  3.57510e-04
          47  2.14194e-01  2.36287e-04  1.36424e-12  1.22149e-03  3.49498e-02  1.00000e+00  4.11876e-03  2.97567e-04
          48  2.14425e-01  2.30916e-04  1.56319e-12  1.23224e-03  3.51033e-02  1.00000e+00  4.02590e-03  2.90807e-04
          49  2.14641e-01  2.15879e-04  1.70530e-12  1.24848e-03  3.53338e-02  1.00000e+00  3.76569e-03  2.71880e-04
          50  2.14822e-01  1.81660e-04  2.04636e-12  1.26582e-03  3.55783e-02  1.00000e+00  3.17255e-03  2.28804e-04

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          51  2.14999e-01  1.76756e-04  2.45848e-12  1.29134e-03  3.59353e-02  1.00000e+00  3.08742e-03  2.22630e-04
