==============================================
 Job     : ch_filtered_tdma  (ID=28109)
 Input   : /shared/home/wel1come1234/workspace/Filtered_TDMA/channel/PARA_INPUT.dat
 MPI     : np1=4  np2=4  np3=2  -> NP=32
 Binary  : /shared/home/wel1come1234/workspace/Filtered_TDMA/build/bin/channel.out
==============================================
[2026-04-25 01:06:32] Starting  mpirun -np 32
====== Channel Config ======
  meshes:    n1m=256 n2m=256 n3m=256 (n1=257 n2=257 n3=257)
  MPI_procs: np1=4 np2=4 np3=2 (total=32)
  periodic:  pbc1=1 pbc2=1 pbc3=0 (z is wall-normal)
  uniform:   1 1 0   stretch gamma: 0 0 1.3
  domain:    Lx=12.5664 Ly=6.28319 Lz=2 (H=2, Aspect1=6.28319 Aspect2=3.14159)
  flow:      Re_b=2857 MaxCFL=1
  time:      dtStart=0.05 tStart=0 Timestepmax=30000
  forcing:   MASS_FLOW  Ub_target=1  dPdx_target=0  pert_amp=0
  restart:   in=0 out=1  './restart_in/' './restart_out/'
  output:    nmonitor=1  nstat_start=20000  nstat=1
             nout_stats=10000  nout=30000  out_stats=1  out_field=1
             stat_dir='./statistics/' instant_dir='./instant/'
  tdma:      backend=pascal
============================
====== MpiTopology ======
  dims=(4,4,2)  total=32
  periodic=(1,1,0)
=========================

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          36  9.13064e-01  1.01659e-06  1.85537e-10  1.90954e+01  4.36982e+00  1.00000e+00  1.78657e-05  1.28100e-06
          37  9.13065e-01  1.09633e-06  2.76486e-10  2.81340e+01  5.30415e+00  1.00000e+00  1.92669e-05  1.38147e-06
          38  9.13066e-01  1.04077e-06  3.68345e-10  1.13038e+02  1.06319e+01  1.00000e+00  1.82907e-05  1.31147e-06
          39  9.13066e-01  4.65641e-07  6.69388e-10  9.56028e+02  3.09197e+01  1.00000e+00  8.18339e-06  5.86751e-07
          40  9.13067e-01  7.05754e-07  6.08270e-09  1.09309e+04  1.04551e+02  1.00000e+00  1.24031e-05  8.89315e-07

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          41  9.13067e-01  3.05975e-07  3.81470e-05  1.21404e+04  1.10183e+02  1.00000e+00  5.37738e-06  3.85558e-07
          42  9.13067e-01  3.98311e-11  6.10352e-05  1.21307e+04  1.10139e+02  1.00000e+00  7.00021e-10  5.01910e-11
          43  9.13067e-01  4.29403e-11  1.67847e-03  1.19266e+04  1.09209e+02  1.00000e+00  7.54665e-10  5.41089e-11
          44  9.13067e-01  1.69377e-12  3.05176e-03  1.23456e+04  1.11111e+02  1.00000e+00  2.97676e-11  2.13431e-12
          45  9.13067e-01  1.44109e-12  3.44849e-03  1.21822e+04  1.10373e+02  1.00000e+00  2.53267e-11  1.81591e-12
          46  9.13067e-01  1.80755e-12  1.26953e-02  1.33950e+04  1.15737e+02  1.00000e+00  3.17671e-11  2.27768e-12
          47  9.13067e-01  2.01976e-13  1.02539e-02  1.23596e+04  1.11174e+02  1.00000e+00  3.54968e-12  2.54509e-13
          48  9.13067e-01  2.11415e-13  5.66406e-02  1.94737e+04  1.39548e+02  1.00000e+00  3.71556e-12  2.66402e-13
          49  9.13067e-01  5.21838e-14  6.64062e-02  1.53489e+04  1.23891e+02  1.00000e+00  9.17117e-13  6.57566e-14
          50  9.13067e-01  2.53275e-14  9.06250e-01  1.04492e+05  3.23252e+02  1.00000e+00  4.45124e-13  3.19150e-14

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          51  9.13067e-01  2.41324e-15  1.12500e+00  2.05533e+05  4.53358e+02  1.00000e+00  4.24121e-14  3.04092e-15
          52  9.13067e-01  1.31164e-15  2.75000e+00  5.51922e+04  2.34930e+02  1.00000e+00  2.30517e-14  1.65279e-15
          53  9.13067e-01  1.96334e-15  1.11250e+01  1.46418e+06  1.21003e+03  1.00000e+00  3.45051e-14  2.47399e-15
          54  9.13067e-01  2.56786e-16  1.06250e+01  3.82592e+04  1.95600e+02  1.00000e+00  4.51294e-15  3.23574e-16
          55  9.13067e-01  2.88885e-16  4.40000e+01  8.22706e+06  2.86829e+03  1.00000e+00  5.07707e-15  3.64022e-16
          56  9.13067e-01  5.48101e-17  2.97500e+01  9.35003e+06  3.05778e+03  1.00000e+00  9.63273e-16  6.90659e-17
          57  9.13067e-01  4.78234e-17  8.61094e+01  5.23689e+06  2.28842e+03  1.00000e+00  8.40483e-16  6.02620e-17
          58  9.13067e-01  4.64461e-17  1.46000e+02  3.11721e+07  5.58320e+03  9.99999e-01  8.16277e-16  5.85264e-17
          59  9.13067e-01  2.04276e-17  1.43360e+04  1.85635e+09  4.30853e+04  1.00010e+00  3.59009e-16  2.57407e-17
          60  9.13067e-01  1.88613e-19  2.66600e+04  7.05297e+08  2.65574e+04  9.99954e-01  3.31482e-18  2.37670e-19

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          61  9.13067e-01  2.05336e-19  2.91840e+04  2.42534e+07  4.92477e+03  1.00001e+00  3.60873e-18  2.58743e-19
          62  9.13067e-01  1.99648e-19  7.16800e+04  8.12750e+09  9.01526e+04  1.00040e+00  3.50875e-18  2.51575e-19
          63  9.13067e-01  5.31431e-20  8.60160e+04  5.75386e+09  7.58542e+04  9.99558e-01  9.33977e-19  6.69654e-20
