==============================================
 Job     : ch_filtered_tdma  (ID=28110)
 Input   : /shared/home/wel1come1234/workspace/Filtered_TDMA/channel/PARA_INPUT.dat
 MPI     : np1=4  np2=4  np3=2  -> NP=32
 Binary  : /shared/home/wel1come1234/workspace/Filtered_TDMA/build/bin/channel.out
==============================================
[2026-04-25 09:49:31] Starting  mpirun -np 32
====== Channel Config ======
  meshes:    n1m=256 n2m=256 n3m=256 (n1=257 n2=257 n3=257)
  MPI_procs: np1=4 np2=4 np3=2 (total=32)
  periodic:  pbc1=1 pbc2=1 pbc3=0 (z is wall-normal)
  uniform:   1 1 0   stretch gamma: 0 0 1.3
  domain:    Lx=12.5664 Ly=6.28319 Lz=2 (H=2, Aspect1=6.28319 Aspect2=3.14159)
  flow:      Re_b=2857 MaxCFL=1
  time:      dtStart=0.05 tStart=0 Timestepmax=30000
  forcing:   MASS_FLOW  Ub_target=1  dPdx_target=0  pert_amp=0
  restart:   in=0 out=1  './restart_in/' './restart_out/'
  output:    nmonitor=1  nstat_start=20000  nstat=1
             nout_stats=10000  nout=30000  out_stats=1  out_field=1
             stat_dir='./statistics/' instant_dir='./instant/'
  tdma:      backend=pascal
============================
====== MpiTopology ======
  dims=(4,4,2)  total=32
  periodic=(1,1,0)
=========================

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
           1  3.27261e-02  3.27261e-02  3.38211e-15  9.43345e-04  3.07139e-02  1.00000e+00  2.68712e-01  3.80961e-02
           2  6.54428e-02  3.27167e-02  3.28837e-15  9.91148e-04  3.14825e-02  1.00000e+00  2.68676e-01  3.80861e-02
           3  9.81501e-02  3.27073e-02  4.49052e-15  9.67628e-04  3.11067e-02  1.00000e+00  2.68640e-01  3.80759e-02
           4  1.30848e-01  3.26978e-02  4.51459e-15  9.75631e-04  3.12351e-02  1.00000e+00  2.68604e-01  3.80657e-02
           5  1.63536e-01  3.26885e-02  4.52166e-15  9.81405e-04  3.13274e-02  1.00000e+00  2.68568e-01  3.80557e-02
           6  1.96216e-01  3.26792e-02  4.52142e-15  9.97139e-04  3.15775e-02  1.00000e+00  2.68532e-01  3.80457e-02
           7  2.28886e-01  3.26702e-02  4.52220e-15  1.01888e-03  3.19199e-02  1.00000e+00  2.68498e-01  3.80360e-02
           8  2.61547e-01  3.26614e-02  4.52199e-15  1.04917e-03  3.23910e-02  1.00000e+00  2.68464e-01  3.80266e-02
           9  2.94200e-01  3.26530e-02  4.52218e-15  1.08866e-03  3.29949e-02  1.00000e+00  2.68432e-01  3.80175e-02
          10  3.26844e-01  3.26441e-02  4.52287e-15  1.13947e-03  3.37560e-02  1.00000e+00  2.68397e-01  3.80079e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          11  3.59479e-01  3.26350e-02  4.52128e-15  1.20414e-03  3.47007e-02  1.00000e+00  2.68362e-01  3.79981e-02
          12  3.92106e-01  3.26265e-02  4.52143e-15  1.28654e-03  3.58684e-02  1.00000e+00  2.68329e-01  3.79889e-02
          13  4.24724e-01  3.26187e-02  4.52232e-15  1.39229e-03  3.73134e-02  1.00000e+00  2.68300e-01  3.79806e-02
          14  4.57336e-01  3.26111e-02  4.52101e-15  1.52991e-03  3.91141e-02  1.00000e+00  2.68270e-01  3.79724e-02
          15  4.89939e-01  3.26031e-02  4.52274e-15  1.71284e-03  4.13865e-02  1.00000e+00  2.68240e-01  3.79638e-02
          16  5.22535e-01  3.25965e-02  4.51922e-15  1.96338e-03  4.43101e-02  1.00000e+00  2.68214e-01  3.79567e-02
          17  5.55125e-01  3.25901e-02  4.52264e-15  2.32109e-03  4.81777e-02  1.00000e+00  2.68189e-01  3.79498e-02
          18  5.87709e-01  3.25843e-02  4.52160e-15  2.86229e-03  5.35004e-02  1.00000e+00  2.68167e-01  3.79436e-02
          19  6.20289e-01  3.25799e-02  4.52099e-15  3.75218e-03  6.12550e-02  1.00000e+00  2.68150e-01  3.79389e-02
          20  6.52866e-01  3.25764e-02  4.52129e-15  5.40895e-03  7.35456e-02  1.00000e+00  2.68137e-01  3.79351e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          21  6.85441e-01  3.25749e-02  4.52201e-15  9.16000e-03  9.57079e-02  1.00000e+00  2.68131e-01  3.79334e-02
          22  7.18018e-01  3.25769e-02  4.52186e-15  2.09696e-02  1.44809e-01  1.00000e+00  2.68139e-01  3.79356e-02
          23  7.50602e-01  3.25846e-02  4.52205e-15  9.52665e-02  3.08653e-01  1.00000e+00  2.68168e-01  3.79439e-02
          24  7.77722e-01  2.71201e-02  9.01617e-15  3.09910e-01  5.56696e-01  1.00000e+00  2.45047e-01  3.19877e-02
          25  7.95198e-01  1.74753e-02  4.52109e-15  5.92334e-02  2.43379e-01  1.00000e+00  1.90883e-01  2.10916e-02
          26  8.27606e-01  3.24084e-02  9.03627e-15  1.64584e-02  1.28290e-01  1.00000e+00  2.67487e-01  3.77543e-02
          27  8.50152e-01  2.25459e-02  9.01870e-15  4.19046e-03  6.47337e-02  1.00000e+00  2.21901e-01  2.68826e-02
          28  8.65925e-01  1.57736e-02  9.01937e-15  2.05396e-02  1.43316e-01  1.00000e+00  1.78889e-01  1.91164e-02
          29  8.83479e-01  1.75533e-02  9.03575e-15  2.45871e-02  1.56803e-01  1.00000e+00  1.91412e-01  2.11818e-02
          30  8.99273e-01  1.57940e-02  4.52416e-15  2.39999e-02  1.54919e-01  1.00000e+00  1.79038e-01  1.91401e-02

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          31  9.25750e-01  2.64770e-02  9.01866e-15  6.46412e-04  2.54246e-02  1.00000e+00  2.42024e-01  3.12766e-02
          32  9.43579e-01  1.78294e-02  8.99393e-15  1.17408e-02  1.08355e-01  1.00000e+00  1.93269e-01  2.15006e-02
          33  9.63389e-01  1.98097e-02  9.03820e-15  1.03201e-02  1.01588e-01  1.00000e+00  2.05969e-01  2.37752e-02
          34  9.78660e-01  1.52714e-02  9.03683e-15  1.91153e-02  1.38258e-01  1.00000e+00  1.75172e-01  1.85303e-02
          35  9.95103e-01  1.64428e-02  9.04745e-15  1.52354e-01  3.90326e-01  1.00000e+00  1.83714e-01  1.98951e-02
          36  1.00923e+00  1.41295e-02  1.80944e-14  2.96897e-02  1.72307e-01  1.00000e+00  1.66395e-01  1.71924e-02
          37  1.01857e+00  9.34110e-03  9.08041e-15  6.09464e-02  2.46873e-01  1.00000e+00  1.23852e-01  1.15000e-02
          38  1.03448e+00  1.59068e-02  3.74850e-14  1.21049e+00  1.10022e+00  1.00000e+00  1.79861e-01  1.92716e-02
          39  1.03879e+00  4.30761e-03  3.73035e-14  1.06773e+00  1.03331e+00  1.00000e+00  6.58244e-02  5.36971e-03
          40  1.04403e+00  5.23715e-03  7.87981e-14  1.98251e-01  4.45254e-01  1.00000e+00  7.78365e-02  6.51334e-03

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          41  1.04656e+00  2.53414e-03  1.56319e-12  2.98528e+00  1.72780e+00  1.00000e+00  4.09231e-02  3.17300e-03
          42  1.04769e+00  1.13143e-03  7.27596e-12  2.15787e+00  1.46897e+00  1.00000e+00  1.91304e-02  1.42166e-03
          43  1.04795e+00  2.59700e-04  4.11546e-11  2.97006e+00  1.72339e+00  1.00000e+00  4.52323e-03  3.27033e-04
          44  1.04802e+00  6.99358e-05  6.51926e-08  1.56166e+00  1.24966e+00  1.00000e+00  1.22612e-03  8.81102e-05
          45  1.04802e+00  1.70701e-08  2.25380e-07  1.61626e+00  1.27132e+00  1.00000e+00  3.00002e-07  2.15099e-08
          46  1.04802e+00  1.81804e-08  1.08033e-07  1.58939e+00  1.26071e+00  1.00000e+00  3.19515e-07  2.29090e-08
          47  1.04802e+00  1.43706e-08  8.34465e-07  2.12290e+00  1.45702e+00  1.00000e+00  2.52560e-07  1.81084e-08
          48  1.04802e+00  7.37382e-10  1.78814e-06  8.30316e+00  2.88152e+00  1.00000e+00  1.29593e-08  9.29171e-10
          49  1.04802e+00  7.52573e-10  7.98702e-06  1.66070e+02  1.28868e+01  1.00000e+00  1.32263e-08  9.48313e-10
          50  1.04802e+00  1.37739e-10  7.62939e-06  6.02616e+02  2.45482e+01  1.00000e+00  2.42072e-09  1.73564e-10

    Timestep         Time           dt      maxDivU          WSS        u_tau          U_b      rho_max      rho_min
          51  1.04802e+00  6.65206e-11  1.33514e-05  5.31269e+02  2.30493e+01  1.00000e+00  1.16908e-09  8.38222e-11
          52  1.04802e+00  9.73382e-11  2.78971e-06  3.52674e+02  1.87796e+01  1.00000e+00  1.71069e-09  1.22655e-10
          53  1.04802e+00  1.55007e-10  4.19617e-05  6.38843e+00  2.52754e+00  1.00000e+00  2.72420e-09  1.95323e-10
          54  1.04802e+00  1.45765e-11  8.60691e-05  2.58149e+01  5.08083e+00  1.00000e+00  2.56178e-10  1.83678e-11
          55  1.04802e+00  1.62229e-11  4.71102e-04  1.75848e+02  1.32608e+01  1.00000e+00  2.85113e-10  2.04424e-11
          56  1.04802e+00  2.21182e-12  5.49316e-04  1.07228e+02  1.03551e+01  1.00000e+00  3.88721e-11  2.78710e-12
          57  1.04802e+00  1.10503e-12  1.66321e-03  2.52112e+02  1.58780e+01  1.00000e+00  1.94205e-11  1.39244e-12
