study,case,np,backend,rho,grid,cells,wall_per_step_s,rhs,solve_x,solve_y,solve_z,comm
refine,64x64x64,2,pascal,040,65x65x65,274625,2.552891e-03,1.619124e-03,2.056997e-04,1.815529e-04,5.234551e-04,2.305985e-05
strong,128x128x1024,2,filtered_v2,025,129x129x1025,17057025,1.577424e-01,1.040224e-01,2.175604e-02,1.156440e-02,2.032767e-02,7.188120e-05
strong,128x128x1024,2,filtered_v2,040,129x129x1025,17057025,1.571024e-01,1.037205e-01,2.090127e-02,1.179547e-02,2.060805e-02,7.708150e-05
strong,128x128x1024,2,pascal,025,129x129x1025,17057025,1.591676e-01,1.036928e-01,1.970362e-02,1.126974e-02,2.442667e-02,7.476570e-05
strong,128x128x1024,2,pascal,040,129x129x1025,17057025,1.603690e-01,1.042452e-01,2.009391e-02,1.143603e-02,2.451467e-02,7.926780e-05
strong,128x128x1024,4,filtered_v2,025,129x129x1025,17057025,8.064684e-02,5.201018e-02,1.179203e-02,6.352545e-03,1.037305e-02,1.190302e-04
strong,128x128x1024,4,filtered_v2,040,129x129x1025,17057025,8.076791e-02,5.290624e-02,1.093114e-02,6.336513e-03,1.046376e-02,1.302622e-04
strong,128x128x1024,4,pascal,025,129x129x1025,17057025,8.230507e-02,5.211233e-02,1.135442e-02,5.815497e-03,1.290793e-02,1.148939e-04
strong,128x128x1024,4,pascal,040,129x129x1025,17057025,9.188827e-02,5.896799e-02,1.221665e-02,7.153772e-03,1.342607e-02,1.237802e-04
strong,128x128x1024,8,filtered_v2,025,129x129x1025,17057025,4.504790e-02,2.754943e-02,7.004066e-03,3.838116e-03,6.482489e-03,1.738036e-04
strong,128x128x1024,8,filtered_v2,040,129x129x1025,17057025,4.475112e-02,2.743121e-02,7.098577e-03,3.541189e-03,6.504422e-03,1.757199e-04
strong,128x128x1024,8,pascal,025,129x129x1025,17057025,4.825208e-02,2.786516e-02,7.066660e-03,3.592379e-03,9.545561e-03,1.823158e-04
strong,128x128x1024,8,pascal,040,129x129x1025,17057025,4.777387e-02,2.722353e-02,6.766369e-03,3.705271e-03,9.896428e-03,1.822690e-04
strong,256x256x2048,2,filtered_v2,025,257x257x2049,135334401,1.258917e+00,8.322831e-01,1.605842e-01,1.108654e-01,1.550095e-01,1.750330e-04
strong,256x256x2048,2,filtered_v2,040,257x257x2049,135334401,1.257766e+00,8.302348e-01,1.613483e-01,1.097602e-01,1.562431e-01,1.793469e-04
strong,256x256x2048,2,pascal,025,257x257x2049,135334401,1.292158e+00,8.396170e-01,1.573098e-01,1.078329e-01,1.872171e-01,1.811437e-04
strong,256x256x2048,2,pascal,040,257x257x2049,135334401,1.293295e+00,8.372436e-01,1.598317e-01,1.094834e-01,1.865470e-01,1.893256e-04
strong,256x256x2048,4,filtered_v2,025,257x257x2049,135334401,6.510800e-01,4.266875e-01,8.409594e-02,5.779401e-02,8.216575e-02,3.367872e-04
strong,256x256x2048,4,filtered_v2,040,257x257x2049,135334401,6.412254e-01,4.182313e-01,8.234957e-02,5.691943e-02,8.337872e-02,3.462804e-04
strong,256x256x2048,4,pascal,025,257x257x2049,135334401,6.614735e-01,4.221764e-01,8.122370e-02,5.685910e-02,1.008625e-01,3.517026e-04
strong,256x256x2048,4,pascal,040,257x257x2049,135334401,6.690627e-01,4.289819e-01,8.139842e-02,5.710308e-02,1.012357e-01,3.436442e-04
strong,256x256x2048,8,filtered_v2,025,257x257x2049,135334401,3.667086e-01,2.232359e-01,5.662351e-02,3.427308e-02,5.198376e-02,5.923433e-04
strong,256x256x2048,8,filtered_v2,040,257x257x2049,135334401,3.631768e-01,2.179599e-01,5.692202e-02,3.494999e-02,5.272174e-02,6.231040e-04
strong,256x256x2048,8,pascal,025,257x257x2049,135334401,3.773002e-01,2.205529e-01,5.609143e-02,3.415599e-02,6.586867e-02,6.311563e-04
strong,256x256x2048,8,pascal,040,257x257x2049,135334401,3.762770e-01,2.184514e-01,5.611999e-02,3.467451e-02,6.641311e-02,6.180104e-04
strong,64x64x512,2,filtered_v2,025,65x65x513,2167425,1.823535e-02,1.290228e-02,1.673154e-03,1.326004e-03,2.309988e-03,2.391690e-05
strong,64x64x512,2,filtered_v2,040,65x65x513,2167425,1.853979e-02,1.291142e-02,1.610749e-03,1.325457e-03,2.666801e-03,2.536575e-05
strong,64x64x512,2,pascal,025,65x65x513,2167425,1.895347e-02,1.279373e-02,1.841817e-03,1.282887e-03,3.010702e-03,2.433415e-05
strong,64x64x512,2,pascal,040,65x65x513,2167425,1.893695e-02,1.290744e-02,1.829133e-03,1.314873e-03,2.859827e-03,2.568580e-05
strong,64x64x512,4,filtered_v2,025,65x65x513,2167425,9.581911e-03,6.452079e-03,9.610030e-04,9.511698e-04,1.170508e-03,4.715090e-05
strong,64x64x512,4,filtered_v2,040,65x65x513,2167425,1.134029e-02,6.453717e-03,8.168016e-04,2.783056e-03,1.240801e-03,4.591250e-05
strong,64x64x512,4,pascal,025,65x65x513,2167425,1.031297e-02,6.450913e-03,9.185690e-04,9.430174e-04,1.953615e-03,4.685235e-05
strong,64x64x512,4,pascal,040,65x65x513,2167425,1.023621e-02,6.429764e-03,9.131437e-04,6.637988e-04,2.186496e-03,4.301155e-05
strong,64x64x512,8,filtered_v2,025,65x65x513,2167425,5.225706e-03,3.405984e-03,5.659538e-04,4.060501e-04,7.935660e-04,5.415255e-05
strong,64x64x512,8,filtered_v2,040,65x65x513,2167425,5.257377e-03,3.263472e-03,5.322328e-04,5.044570e-04,9.107256e-04,4.648960e-05
strong,64x64x512,8,pascal,025,65x65x513,2167425,6.696495e-03,3.347923e-03,4.364647e-04,4.356151e-04,2.418689e-03,5.780375e-05
strong,64x64x512,8,pascal,040,65x65x513,2167425,8.336466e-03,3.379560e-03,4.716075e-04,5.762503e-04,3.856812e-03,5.223520e-05
weak,128cube,2,filtered_v2,025,129x129x257,4276737,3.733832e-02,2.580262e-02,3.893002e-03,2.930207e-03,4.649854e-03,6.263680e-05
weak,128cube,2,filtered_v2,040,129x129x257,4276737,3.768779e-02,2.609179e-02,3.866112e-03,2.783838e-03,4.878879e-03,6.716650e-05
weak,128cube,2,pascal,025,129x129x257,4276737,3.818203e-02,2.566306e-02,4.101310e-03,2.704567e-03,5.644977e-03,6.811705e-05
weak,128cube,2,pascal,040,129x129x257,4276737,3.885625e-02,2.599311e-02,4.159818e-03,2.864897e-03,5.770189e-03,6.823350e-05
weak,128cube,4,filtered_v2,025,129x129x513,8536833,4.006536e-02,2.628014e-02,5.456695e-03,3.004830e-03,5.208090e-03,1.155978e-04
weak,128cube,4,filtered_v2,040,129x129x513,8536833,5.882371e-02,4.462708e-02,5.268361e-03,3.129825e-03,5.684549e-03,1.138896e-04
weak,128cube,4,pascal,025,129x129x513,8536833,4.097485e-02,2.590153e-02,5.255754e-03,2.961213e-03,6.736821e-03,1.195347e-04
weak,128cube,4,pascal,040,129x129x513,8536833,4.187589e-02,2.598673e-02,5.216399e-03,2.893160e-03,7.658811e-03,1.207888e-04
weak,128cube,8,filtered_v2,025,129x129x1025,17057025,4.655494e-02,2.787322e-02,7.330525e-03,4.507979e-03,6.665720e-03,1.774934e-04
weak,128cube,8,filtered_v2,040,129x129x1025,17057025,4.471330e-02,2.720008e-02,7.283634e-03,3.644348e-03,6.414831e-03,1.704044e-04
weak,128cube,8,pascal,025,129x129x1025,17057025,4.764740e-02,2.713169e-02,7.185158e-03,3.361320e-03,9.789223e-03,1.800076e-04
weak,128cube,8,pascal,040,129x129x1025,17057025,4.862004e-02,2.753179e-02,7.457355e-03,3.621081e-03,9.829685e-03,1.801243e-04
