#       step         time           dt          wss        u_tau      div_max          U_b      rho_max      rho_min
           1 3.272606e-02   3.2726e-02 1.051143e-03 3.242133e-02   4.0396e-15 1.000000e+00 2.687122e-01 3.809609e-02
           2 6.545235e-02   3.2726e-02 1.050173e-03 3.240638e-02   3.8052e-15 1.000000e+00 2.687131e-01 3.809634e-02
           3 9.817865e-02   3.2726e-02 1.049589e-03 3.239737e-02   4.5181e-15 1.000000e+00 2.687131e-01 3.809634e-02
           4 1.309049e-01   3.2726e-02 1.049714e-03 3.239929e-02   4.5083e-15 1.000000e+00 2.687131e-01 3.809634e-02
           5 1.636312e-01   3.2726e-02 1.049697e-03 3.239903e-02   4.4826e-15 1.000000e+00 2.687131e-01 3.809634e-02
           6 1.963575e-01   3.2726e-02 1.049729e-03 3.239953e-02   4.4977e-15 1.000000e+00 2.687131e-01 3.809634e-02
           7 2.290838e-01   3.2726e-02 1.049742e-03 3.239973e-02   4.4898e-15 1.000000e+00 2.687131e-01 3.809634e-02
           8 2.618101e-01   3.2726e-02 1.049759e-03 3.239999e-02   4.5191e-15 1.000000e+00 2.687131e-01 3.809634e-02
           9 2.945364e-01   3.2726e-02 1.049772e-03 3.240019e-02   4.4707e-15 1.000000e+00 2.687131e-01 3.809634e-02
          10 3.272627e-01   3.2726e-02 1.049784e-03 3.240037e-02   4.5137e-15 1.000000e+00 2.687131e-01 3.809634e-02
          11 3.599890e-01   3.2726e-02 1.049794e-03 3.240053e-02   4.4167e-15 1.000000e+00 2.687131e-01 3.809634e-02
          12 3.927153e-01   3.2726e-02 1.049803e-03 3.240067e-02   4.5038e-15 1.000000e+00 2.687131e-01 3.809634e-02
          13 4.254416e-01   3.2726e-02 1.049811e-03 3.240079e-02   4.5165e-15 1.000000e+00 2.687131e-01 3.809634e-02
          14 4.581679e-01   3.2726e-02 1.049819e-03 3.240091e-02   4.4936e-15 1.000000e+00 2.687131e-01 3.809634e-02
          15 4.908942e-01   3.2726e-02 1.049826e-03 3.240101e-02   4.4702e-15 1.000000e+00 2.687131e-01 3.809634e-02
          16 5.236205e-01   3.2726e-02 1.049832e-03 3.240111e-02   4.3694e-15 1.000000e+00 2.687131e-01 3.809634e-02
          17 5.563468e-01   3.2726e-02 1.049837e-03 3.240119e-02   4.4552e-15 1.000000e+00 2.687131e-01 3.809634e-02
          18 5.890731e-01   3.2726e-02 1.049842e-03 3.240127e-02   4.5063e-15 1.000000e+00 2.687131e-01 3.809634e-02
          19 6.217994e-01   3.2726e-02 1.049847e-03 3.240135e-02   4.4635e-15 1.000000e+00 2.687131e-01 3.809634e-02
          20 6.545257e-01   3.2726e-02 1.049852e-03 3.240141e-02   4.5033e-15 1.000000e+00 2.687131e-01 3.809634e-02
          21 6.872520e-01   3.2726e-02 1.049856e-03 3.240148e-02   4.4572e-15 1.000000e+00 2.687131e-01 3.809634e-02
          22 7.199783e-01   3.2726e-02 1.049860e-03 3.240154e-02   4.5136e-15 1.000000e+00 2.687131e-01 3.809634e-02
          23 7.527046e-01   3.2726e-02 1.049863e-03 3.240159e-02   4.5030e-15 1.000000e+00 2.687131e-01 3.809634e-02
          24 7.854309e-01   3.2726e-02 1.049867e-03 3.240164e-02   4.4159e-15 1.000000e+00 2.687131e-01 3.809634e-02
          25 8.181572e-01   3.2726e-02 1.049870e-03 3.240169e-02   4.4908e-15 1.000000e+00 2.687131e-01 3.809634e-02
          26 8.508835e-01   3.2726e-02 1.049873e-03 3.240174e-02   4.4556e-15 1.000000e+00 2.687131e-01 3.809635e-02
          27 8.836098e-01   3.2726e-02 1.049876e-03 3.240178e-02   4.5115e-15 1.000000e+00 2.687131e-01 3.809635e-02
          28 9.163361e-01   3.2726e-02 1.049878e-03 3.240183e-02   4.5180e-15 1.000000e+00 2.687131e-01 3.809635e-02
          29 9.490624e-01   3.2726e-02 1.049881e-03 3.240187e-02   4.4691e-15 1.000000e+00 2.687131e-01 3.809635e-02
          30 9.817887e-01   3.2726e-02 1.049883e-03 3.240190e-02   4.5103e-15 1.000000e+00 2.687131e-01 3.809635e-02
          31 1.014515e+00   3.2726e-02 1.049886e-03 3.240194e-02   4.5025e-15 1.000000e+00 2.687131e-01 3.809635e-02
          32 1.047241e+00   3.2726e-02 1.049888e-03 3.240197e-02   4.5173e-15 1.000000e+00 2.687131e-01 3.809635e-02
          33 1.079968e+00   3.2726e-02 1.049890e-03 3.240201e-02   4.5095e-15 1.000000e+00 2.687131e-01 3.809635e-02
          34 1.112694e+00   3.2726e-02 1.049892e-03 3.240204e-02   4.4970e-15 1.000000e+00 2.687131e-01 3.809635e-02
          35 1.145420e+00   3.2726e-02 1.049894e-03 3.240207e-02   4.4461e-15 1.000000e+00 2.687131e-01 3.809635e-02
